#UNITS#
Length: AU
Time: Years
Velocity: AU/years
Mass: G*AU^3/yr^2
#HEADER#
ObjectId x0 y0 v0x v0y m
#DATA#
Sun 0 0 0 0 39.4784176044
Earth 1 0 0 6.28 0.0001185323
Mercury 0.466697 0 0 10.0979382 6.51828153066e-06
Venus 0.728213 0 0 7.38729464 9.60825727655e-05
Mars 1.665861 0 0 5.07892327 1.26696111697e-05
Jupiter 5.458104 0 0 2.75705142 0.0374768618318
Saturn 10.11595804 0 0 2.04405725 0.0112209506357
Uranus 20.08339526 0 0 1.43653559 0.00171356071612
Neptune 30.44125206 0 0 1.14543146 0.00202188715761
Pluto(d) 48.871 0 0 0.991441599 2.57596674868e-07
